file,binary,rep,instructions,task_clock_ms,rc
k_fxmul.a8,prefix,1,17750835,16.38,0
k_fxmul.a8,postfix,1,17710524,17.66,0
k_hopalong.a16,prefix,1,38241613,23.66,0
k_hopalong.a16,postfix,1,38471559,22.58,0
k_hopalong.a8,prefix,1,38226932,23.14,0
k_hopalong.a8,postfix,1,38624368,23.95,0
k_isort.a16,prefix,1,38413150,23.76,0
k_isort.a16,postfix,1,38802736,24.03,0
k_isort.a8,prefix,1,38389378,23.96,0
k_isort.a8,postfix,1,38805698,26.19,0
k_mandel.a16,prefix,1,49683777,28.75,0
k_mandel.a16,postfix,1,49959473,28.33,0
k_mandel.a8,prefix,1,49697665,30.12,0
k_mandel.a8,postfix,1,50064765,30.30,0
k_mandel_far.a16,prefix,1,15983777,15.18,1
k_mandel_far.a16,postfix,1,15998115,15.72,1
k_mandel_far.a8,prefix,1,15940853,15.24,1
k_mandel_far.a8,postfix,1,15886381,14.87,1
k_prng.a16,prefix,1,20092008,18.07,0
k_prng.a16,postfix,1,20161238,16.55,0
k_prng.a8,prefix,1,19984738,16.88,0
k_prng.a8,postfix,1,20062998,17.18,0
k_satadd.a16,prefix,1,17091627,16.70,0
k_satadd.a16,postfix,1,17113196,27.17,0
k_satadd.a8,prefix,1,17103864,27.43,0
k_satadd.a8,postfix,1,17030832,26.25,0
k_trig16.a16,prefix,1,299943586,128.34,0
k_trig16.a16,postfix,1,307163580,111.27,0
k_trig16.a8,prefix,1,300115176,105.05,0
k_trig16.a8,postfix,1,307392134,106.79,0
k_trig16x.a16,prefix,1,464427169,203.13,134
k_trig16x.a16,postfix,1,464037485,177.56,134
k_trig16x.a8,prefix,1,464347627,178.18,134
k_trig16x.a8,postfix,1,464377358,168.90,134
k_trig32.a16,prefix,1,75577888,31.16,0
k_trig32.a16,postfix,1,75817308,30.45,0
k_trig32.a8,prefix,1,75513932,31.76,0
k_trig32.a8,postfix,1,75832340,40.36,0
legalindexdom.a16,prefix,1,19634962,17.15,0
legalindexdom.a16,postfix,1,19809507,17.00,0
legalindexdom.a8,prefix,1,19634950,17.01,0
legalindexdom.a8,postfix,1,19741409,17.22,0
llabs64-probe.a16,prefix,1,37021659,23.73,0
llabs64-probe.a16,postfix,1,37230584,22.33,0
llabs64-probe.a8,prefix,1,37062095,26.58,0
llabs64-probe.a8,postfix,1,37082701,22.78,0
mixedwidth-probe.a16,prefix,1,37760899,23.46,0
mixedwidth-probe.a16,postfix,1,37630343,24.10,0
mixedwidth-probe.a8,prefix,1,39071200,37.13,0
mixedwidth-probe.a8,postfix,1,39103113,24.78,0
modethread-probe.a16,prefix,1,48479873,32.21,0
modethread-probe.a16,postfix,1,48726059,29.75,0
modethread-probe.a8,prefix,1,48374136,27.21,0
modethread-probe.a8,postfix,1,48824949,29.23,0
rcundef.a16,prefix,1,87855179,35.63,0
rcundef.a16,postfix,1,88891719,37.46,0
rcundef.a8,prefix,1,87976204,36.28,0
rcundef.a8,postfix,1,88951715,37.12,0
shift64seam-narrow.a16,prefix,1,16070183,14.15,0
shift64seam-narrow.a16,postfix,1,16182216,14.89,0
shift64seam-narrow.a8,prefix,1,16113155,14.13,0
shift64seam-narrow.a8,postfix,1,16088398,15.51,0
shift64seam-probe.a16,prefix,1,62817262,29.77,0
shift64seam-probe.a16,postfix,1,63031728,30.24,0
shift64seam-probe.a8,prefix,1,62840257,30.83,0
shift64seam-probe.a8,postfix,1,62991121,28.84,0
xy16-inplace-memmove-repro.a16,prefix,1,38402901,23.83,0
xy16-inplace-memmove-repro.a16,postfix,1,38799579,25.65,0
xy16-inplace-memmove-repro.a8,prefix,1,38354128,24.20,0
xy16-inplace-memmove-repro.a8,postfix,1,38930522,24.72,0
xy16basic.a16,prefix,1,13746949,14.83,0
xy16basic.a16,postfix,1,13716693,14.05,0
xy16basic.a8,prefix,1,13684031,14.55,0
xy16basic.a8,postfix,1,13704681,13.86,0
xy16call.a16,prefix,1,22907145,18.19,0
xy16call.a16,postfix,1,22944582,17.44,0
xy16call.a8,prefix,1,22900736,17.41,0
xy16call.a8,postfix,1,22945486,17.94,0
xy16indiry.a16,prefix,1,14393620,15.40,0
xy16indiry.a16,postfix,1,14372473,14.39,0
xy16indiry.a8,prefix,1,14408642,14.21,0
xy16indiry.a8,postfix,1,14401845,17.98,0
xy16ops.a16,prefix,1,14713187,15.27,0
xy16ops.a16,postfix,1,14704252,15.88,0
xy16ops.a8,prefix,1,14679575,14.60,0
xy16ops.a8,postfix,1,14753872,15.38,0
xy16spill.a16,prefix,1,20873172,17.65,0
xy16spill.a16,postfix,1,20932029,17.31,0
xy16spill.a8,prefix,1,20902373,18.08,0
xy16spill.a8,postfix,1,20909623,18.07,0
xy16spillr.a16,prefix,1,27021456,19.77,0
xy16spillr.a16,postfix,1,27215673,19.48,0
xy16spillr.a8,prefix,1,27056772,19.58,0
xy16spillr.a8,postfix,1,27158055,20.19,0
zerobank_probe.a16,prefix,1,11107309,12.30,1
zerobank_probe.a16,postfix,1,11075755,17.88,1
zerobank_probe.a8,prefix,1,10997192,13.18,1
zerobank_probe.a8,postfix,1,11077168,15.08,1
a16.a16,prefix,2,13772094,23.33,0
a16.a16,postfix,2,13683142,14.74,0
a16.a8,prefix,2,13697229,16.50,0
a16.a8,postfix,2,13733379,15.70,0
a16abs.a16,prefix,2,13684282,14.64,0
a16abs.a16,postfix,2,13695139,14.51,0
a16abs.a8,prefix,2,13634224,15.04,0
a16abs.a8,postfix,2,13657029,14.63,0
a16abscmp.a16,prefix,2,22627532,17.84,0
a16abscmp.a16,postfix,2,22806587,17.52,0
a16abscmp.a8,prefix,2,22609326,25.09,0
a16abscmp.a8,postfix,2,22775661,19.08,0
