# gcc c-torture/execute tests that do NOT build a DEFAULT SNES ROM (gcc-14.2.0).
# Generated by tools/torture_filter.py --opt -Os.
# test	reason	diagnostic
950621-1.c	compile-error	vendor/c-torture/execute/950621-1.c:10:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
960218-1.c	compile-error	vendor/c-torture/execute/960218-1.c:5:4: error: parameter 'x' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
960402-1.c	compile-error	vendor/c-torture/execute/960402-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
960830-1.c	compile-error	vendor/c-torture/execute/960830-1.c:20:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
961112-1.c	compile-error	vendor/c-torture/execute/961112-1.c:3:4: error: parameter 'x' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
980605-1.c	compile-error	vendor/c-torture/execute/980605-1.c:58:11: error: array is too large (100'000 elements)
980608-1.c	undefined-symbol	ld.lld: error: undefined symbol: debug
980709-1.c	compile-error	vendor/c-torture/execute/980709-1.c:13:7: error: call to undeclared library function 'pow' with type 'double (double, double)'; ISO C99 and later do not support implicit 
990106-1.c	compile-error	vendor/c-torture/execute/990106-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
990413-2.c	compile-error	vendor/c-torture/execute/990413-2.c:20:11: error: invalid output constraint '=t' in asm
990826-0.c	compile-error	vendor/c-torture/execute/990826-0.c:19:7: error: call to undeclared library function 'floor' with type 'double (double)'; ISO C99 and later do not support implicit functi
alias-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
alias-3.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
alias-access-path-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
